T	F0	E
13.6	0	36.03
13.61	0	33.92
13.62	0	32.15
13.63	0	31.22
13.64	0	31.02
13.65	0	30.92
13.66	0	30.55
13.67	0	30
13.68	0	29.61
13.69	0	30.16
13.7	0	31.77
13.71	0	31.57
13.72	0	29.04
13.73	0	28.94
13.74	0	30.71
13.75	0	30.03
13.76	0	29.18
13.77	0	30.42
13.78	0	31.83
13.79	0	37.91
13.8	0	44.96
13.81	0	50.87
13.82	0	57.8
13.83	0	64.56
13.84	0	69.41
13.85	139.34	73.07
13.86	136.48	75.09
13.87	135.57	75.02
13.88	133.19	73.38
13.89	131.01	71.32
13.9	129.91	69.39
13.91	0	69.24
13.92	0	70.73
13.93	0	72.13
13.94	0	73.12
13.95	0	73.49
13.96	0	73.36
13.97	0	73.12
13.98	0	72.79
13.99	0	72.5
14	0	73.49
14.01	0	76.63
14.02	200.85	79.56
14.03	202.34	80.24
14.04	211.76	79.59
14.05	214.41	78.97
14.06	216.13	78.49
14.07	222.28	78.11
14.08	228.51	77.93
14.09	233.9	77.61
14.1	239.82	77.12
14.11	245.99	76.72
14.12	249.18	76.29
14.13	250.64	75.54
14.14	251.05	74.07
14.15	250.61	71.19
14.16	0	65.84
14.17	0	56.92
14.18	0	46.78
14.19	0	49.22
14.2	0	61.65
14.21	0	70.39
14.22	0	76.11
14.23	0	79.04
14.24	0	79.74
14.25	0	78.69
14.26	0	76.61
14.27	0	75.97
14.28	0	76.47
14.29	0	76.57
14.3	0	76.12
14.31	0	75.26
14.32	0	73.24
14.33	0	69.15
14.34	0	62.15
14.35	0	54.62
14.36	0	59.85
14.37	0	67.43
14.38	0	74.31
14.39	204.3	78.47
14.4	202.71	80.01
14.41	202	79.96
14.42	202.48	79.09
14.43	203.76	78.12
14.44	207.3	77.77
14.45	213.03	77.89
14.46	217.45	77.95
14.47	221.81	77.88
14.48	226.48	77.84
14.49	230.35	77.57
14.5	234.42	76.95
14.51	236.76	76.7
14.52	236.81	76.62
14.53	236.42	75.51
14.54	236.08	73.73
14.55	234.4	72.63
14.56	229.92	72.21
14.57	223.73	71.61
14.58	211.97	70.1
14.59	201.65	67.78
14.6	0	68.31
14.61	0	72.29
14.62	0	76.17
14.63	0	77.92
14.64	0	78.34
14.65	0	78.23
14.66	0	77.28
14.67	0	75.24
14.68	0	73.36
14.69	0	75.13
14.7	181.16	78.51
14.71	172.34	79.99
14.72	170.81	79.86
14.73	163.82	78.99
14.74	160.72	78.19
14.75	159.03	77.34
14.76	156.97	75.72
14.77	156.17	73.6
14.78	156.68	72.49
14.79	157.43	73.14
14.8	159.79	74.61
14.81	162.76	76.31
14.82	168.16	78.43
14.83	171.28	80.46
14.84	173.4	81.45
14.85	174.82	81.51
14.86	175.64	81.3
14.87	175.73	81.2
14.88	175.43	81.22
14.89	174.31	81.26
14.9	172.7	81.21
14.91	169.53	81.07
14.92	165.71	80.87
14.93	163.06	80.48
14.94	159.34	79.69
14.95	153.24	78.18
14.96	147.25	75.61
14.97	145.64	72.23
14.98	0	70.34
14.99	0	72.85
15	0	75.03
15.01	0	75.3
15.02	0	74.09
15.03	0	72.86
15.04	0	73.35
15.05	0	74.34
15.06	0	74.46
15.07	0	74.52
15.08	0	75.01
15.09	0	74.8
15.1	0	73.43
15.11	0	72.37
15.12	0	72.34
15.13	0	71.93
15.14	0	70.96
15.15	0	70.44
15.16	0	70.08
15.17	0	69.67
15.18	0	69.56
15.19	0	69.63
15.2	0	69.62
15.21	0	69.61
15.22	0	70.56
15.23	0	71.42
15.24	0	70.73
15.25	0	68.56
15.26	0	65.95
15.27	0	63.81
15.28	0	62.49
15.29	0	61.55
15.3	0	60.37
15.31	0	58.28
15.32	0	56.01
15.33	0	56.35
15.34	0	56.65
15.35	0	55
15.36	0	54.17
15.37	0	55.63
15.38	0	56.54
15.39	0	55.88
15.4	0	55.08
15.41	0	55.15
15.42	0	56.15
15.43	0	56.79
15.44	0	56.16
15.45	0	56.49
15.46	0	57.92
15.47	0	57.88
15.48	0	56.65
15.49	0	55.95
15.5	0	56.16
15.51	0	55.88
15.52	0	56.51
15.53	0	57.89
15.54	0	56.97
15.55	0	52.72
15.56	0	48.11
15.57	0	44.86
15.58	0	42.29
15.59	0	40.48
15.6	0	40.08
15.61	0	39.98
15.62	0	38.59
15.63	0	35.08
15.64	0	30.5
15.65	0	28.68
15.66	0	30.37
15.67	0	31.35
15.68	0	31.54
15.69	0	32.28
15.7	0	32.19
15.71	0	31.52
15.72	0	31.54
15.73	0	30.83
15.74	0	28.05
15.75	0	26.2
15.76	0	30.7
15.77	0	37.62
15.78	0	0
15.79	0	0
15.8	0	0
15.81	0	0
